timestamp,Rotor,_id,KH-Zähl2,GetrT,Spann,Azimut,Spann.2,Prod. 2,Leistung,Abgabe,BtrStd 1,Bezug,KH-Ana-3,Gen1-,Strom-.2,KH-Zähl1,KH-Ana-2,KH-DigiE,Außen,Strom-,Wind,Lager,KH-DigiI,Prod. 1,Spann.1,CosPh,Status,KH-Ana-1,BtrStd 2,Strom-.1,KH-Ana-4
2016-01-20T13:10:00.000Z,0,6882314aa85e68182405c2f4,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T13:20:00.000Z,0,6882314aa85e68182405c2f5,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T13:30:00.000Z,0,6882314aa85e68182405c2f6,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T13:40:00.000Z,0,6882314aa85e68182405c2f7,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T13:50:00.000Z,0,6882314aa85e68182405c2f8,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T14:00:00.000Z,0,6882314aa85e68182405c2f9,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T14:10:00.000Z,0,6882314aa85e68182405c2fa,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T14:20:00.000Z,0,6882314aa85e68182405c2fb,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T14:30:00.000Z,0,6882314aa85e68182405c2fc,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T14:40:00.000Z,0,6882314aa85e68182405c2fd,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T14:50:00.000Z,0,6882314aa85e68182405c2fe,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T15:00:00.000Z,0,6882314aa85e68182405c2ff,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T15:10:00.000Z,0,6882314aa85e68182405c300,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T15:20:00.000Z,0,6882314aa85e68182405c301,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T15:30:00.000Z,0,6882314aa85e68182405c302,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T15:40:00.000Z,0,6882314aa85e68182405c303,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T15:50:00.000Z,0,6882314aa85e68182405c304,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T16:00:00.000Z,0,6882314aa85e68182405c305,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T16:10:00.000Z,0,6882314aa85e68182405c306,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T16:20:00.000Z,0,6882314aa85e68182405c307,0,0,0,0,0,1743403,0,1177,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388258,0,0,9999,0,45367,0,0
2016-01-20T16:30:00.000Z,7,6882314aa85e68182405c308,0,19.6,278.6,213.6,277.9,1743634,129.6,1184,49143,21,0,7.7,111.2,0,0,0,1.4,103.5,3.3,28.7,0,33388265,278.5,0.69,9999,0,45368,116.1,0
2016-01-21T08:40:00.000Z,0,6882314aa85e68182405c369,0,24.2,369.5,346.9,367.7,1744067,-0.1,1184,49143,21,0,1.8,2.8,0,0,0,-5.6,2.8,0.9,20.5,0,33388266,368.7,0,9999,0,45372,3.6,0
2016-01-21T08:50:00.000Z,0,6882314aa85e68182405c36a,0,24.2,369.5,346.9,367.7,1744067,-0.1,1184,49143,21,0,1.8,2.8,0,0,0,-5.6,2.8,0.9,20.5,0,33388266,368.7,0,9999,0,45372,3.6,0
2016-01-21T09:00:00.000Z,0,6882314aa85e68182405c36b,0,2.4,36.9,34.6,36.7,1744067,0,1184,49143,21,0,0.1,0.2,0,0,0,-0.5,0.2,0,2,0,33388266,36.8,0,9999,0,45372,0.3,0
2016-01-21T09:10:00.000Z,0,6882314aa85e68182405c36c,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T09:20:00.000Z,0,6882314aa85e68182405c36d,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T09:30:00.000Z,0,6882314aa85e68182405c36e,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
2016-01-21T09:40:00.000Z,0,6882314aa85e68182405c36f,0,0,0,0,0,1744067,0,1184,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388266,0,0,9999,0,45372,0,0
